file,line,operation,event,identifier,realm
lua/ace/client/cl_acfballistics.lua,13,Remove,Think,ACE_ManageBulletEffects,client-or-shared
lua/ace/client/cl_acfballistics.lua,14,Add,Think,ACE_ManageBulletEffects,client-or-shared
lua/ace/client/cl_acfpermission.lua,109,Add,SpawnMenuOpen,ACEPermissionsSpawnMenuOpen,client-or-shared
lua/ace/client/cl_acfpermission.lua,116,Add,PopulateToolMenu,ACEPermissionsPopulateToolMenu,client-or-shared
lua/ace/client/cl_acfrender.lua,12,Add,PostDrawOpaqueRenderables,ACE_RenderDamage,client-or-shared
lua/ace/client/cl_soundbase.lua,698,Add,Think,ACE_Think_SpeedOfSound,client-or-shared
lua/ace/client/gui/cl_acfsetpermission.lua,263,Add,SpawnMenuOpen,ACE.SpawnMenuOpen.,client-or-shared
lua/ace/client/gui/cl_acfsetpermission.lua,266,Add,PopulateToolMenu,ACE.PopulateToolMenu.,client-or-shared
lua/ace/server/permissionmodes/acf_pmode_battle.lua,60,Add,PlayerNoClip,ACE_DisableNoclipPressInBattle,server-or-shared
lua/ace/server/sv_acfballistics.lua,290,Run,ACE_OnBulletCreation,ACE.CurBulletIndex,server-or-shared
lua/ace/server/sv_acfballistics.lua,291,Run,ACEOnBulletCreation,ACE.CurBulletIndex,server-or-shared
lua/ace/server/sv_acfballistics.lua,333,Remove,Tick,ACE_ManageBullets,server-or-shared
lua/ace/server/sv_acfballistics.lua,334,Add,Tick,ACE_ManageBullets,server-or-shared
lua/ace/server/sv_acfballistics.lua,348,Run,ACE_OnBulletRemoved,Index,server-or-shared
lua/ace/server/sv_acfballistics.lua,349,Run,ACEOnBulletRemoved,Index,server-or-shared
lua/ace/server/sv_acfballistics.lua,581,Run,ACE_OnBulletPenetrated,Index,server-or-shared
lua/ace/server/sv_acfballistics.lua,582,Run,ACEOnBulletPenetrated,Index,server-or-shared
lua/ace/server/sv_acfballistics.lua,618,Run,ACE_OnBulletRicochet,Index,server-or-shared
lua/ace/server/sv_acfballistics.lua,619,Run,ACEOnBulletRicochet,Index,server-or-shared
lua/ace/server/sv_acfballistics.lua,649,Run,ACE_OnBulletHit,Index,server-or-shared
lua/ace/server/sv_acfballistics.lua,650,Run,ACEOnBulletHit,Index,server-or-shared
lua/ace/server/sv_acfballistics.lua,670,Run,ACE_BulletsFlight,Index,server-or-shared
lua/ace/server/sv_acfbase.lua,42,Add,Think,ACE_RenderPropDamage,server-or-shared
lua/ace/server/sv_acfbase.lua,144,Run,ACE_BulletDamage,Activated,server-or-shared
lua/ace/server/sv_acfbase.lua,170,Run,ACE_OnDamage,Entity,server-or-shared
lua/ace/server/sv_acfbase.lua,171,Run,ACEOnDamage,Entity,server-or-shared
lua/ace/server/sv_acfbase.lua,172,Run,ACEOnDamage,Entity,server-or-shared
lua/ace/server/sv_acfbase.lua,182,Run,PlayerShouldTakeDamage,Target,server-or-shared
lua/ace/server/sv_acfdamage.lua,1056,Run,ACE_KEShove,Target,server-or-shared
lua/ace/server/sv_acfpermission.lua,116,Add,CleanUpMap,ACE_RestoreSZsCleanup,server-or-shared
lua/ace/server/sv_acfpermission.lua,146,Add,Initialize,ACE_LoadSafesForMap,server-or-shared
lua/ace/server/sv_acfpermission.lua,152,Add,ACE_PlayerChangedZone,ACE_TellPlyAboutSafezoneBattle,server-or-shared
lua/ace/server/sv_acfpermission.lua,159,Add,Think,ACE_DetectSZTransition,server-or-shared
lua/ace/server/sv_acfpermission.lua,170,Call,ACE_PlayerChangedZone,GAMEMODE,server-or-shared
lua/ace/server/sv_acfpermission.lua,342,Call,ACE_ProtectionModeChanged,GAMEMODE,server-or-shared
lua/ace/server/sv_acfpermission.lua,416,Call,ACE_ProtectionModeChanged,GAMEMODE,server-or-shared
lua/ace/server/sv_acfpermission.lua,434,Add,ACE_ProtectionModeChanged,ACE_TellPlysAboutDPMode,server-or-shared
lua/ace/server/sv_acfpermission.lua,512,Add,ACE_BulletDamage,ACE_DamagePermissionCore,server-or-shared
lua/ace/server/sv_acfpermission.lua,584,Add,PlayerDisconnected,ACE_PermissionDisconnect,server-or-shared
lua/ace/server/sv_acfpermission.lua,686,Add,ACE_ProtectionModeChanged,ACE_ResendPermissionsOnChanged,server-or-shared
lua/ace/server/sv_acfpermission.lua,704,Call,ACE_ProtectionModeChanged,GAMEMODE,server-or-shared
