old_class,new_class,state,dupe,decision,status
ace_bomb_aerial,ace_bomb_aerial,Entity.ACF references: 0,unverified,retain-candidate,inventory-confirmed
ace_bomb_barrel,ace_bomb_barrel,Entity.ACF references: 0,unverified,retain-candidate,inventory-confirmed
ace_bomb_satchel,ace_bomb_satchel,Entity.ACF references: 0,unverified,retain-candidate,inventory-confirmed
ace_crewseat_driver,ace_crewseat_driver,Entity.ACF references: 0,unverified,retain-candidate,inventory-confirmed
ace_crewseat_gunner,ace_crewseat_gunner,Entity.ACF references: 0,unverified,retain-candidate,inventory-confirmed
ace_crewseat_loader,ace_crewseat_loader,Entity.ACF references: 0,unverified,retain-candidate,inventory-confirmed
ace_ecm,ace_ecm,Entity.ACF references: 0,unverified,retain-candidate,inventory-confirmed
ace_explosive,ace_explosive,Entity.ACF references: 0,unverified,retain-candidate,inventory-confirmed
ace_explosive_prebuilt,ace_explosive_prebuilt,Entity.ACF references: 0,unverified,retain-candidate,inventory-confirmed
ace_flare,ace_flare,Entity.ACF references: 0,unverified,retain-candidate,inventory-confirmed
ace_gforce_meter,ace_gforce_meter,Entity.ACF references: 0,unverified,retain-candidate,inventory-confirmed
ace_grenade,ace_grenade,Entity.ACF references: 0,unverified,retain-candidate,inventory-confirmed
ace_irst,ace_irst,Entity.ACF references: 0,unverified,retain-candidate,inventory-confirmed
ace_mine,ace_mine,Entity.ACF references: 0,unverified,retain-candidate,inventory-confirmed
ace_missile,ace_missile,Entity.ACF references: 0,unverified,retain-candidate,inventory-confirmed
ace_rwr_dir,ace_rwr_dir,Entity.ACF references: 0,unverified,retain-candidate,inventory-confirmed
ace_rwr_sphere,ace_rwr_sphere,Entity.ACF references: 0,unverified,retain-candidate,inventory-confirmed
ace_scalability,ace_scalability,Entity.ACF references: 0,unverified,retain-candidate,inventory-confirmed
ace_searchradar,ace_searchradar,Entity.ACF references: 0,unverified,retain-candidate,inventory-confirmed
ace_slammine,ace_slammine,Entity.ACF references: 0,unverified,retain-candidate,inventory-confirmed
ace_smokegrenade,ace_smokegrenade,Entity.ACF references: 0,unverified,retain-candidate,inventory-confirmed
ace_sonar,ace_sonar,Entity.ACF references: 0,unverified,retain-candidate,inventory-confirmed
ace_trackingradar,ace_trackingradar,Entity.ACF references: 0,unverified,retain-candidate,inventory-confirmed
ace_vheat_source,ace_vheat_source,Entity.ACF references: 0,unverified,retain-candidate,inventory-confirmed
ace_wind_sensor,ace_wind_sensor,Entity.ACF references: 0,unverified,retain-candidate,inventory-confirmed
acf_ammo,ace_ammo,Entity.ACF references: 0,unverified,rename-candidate,review-required
acf_engine,ace_engine,Entity.ACF references: 0,unverified,rename-candidate,review-required
acf_explosive,ace_explosive,Entity.ACF references: 0,unverified,rename-candidate,review-required
acf_fakecrate2,ace_fakecrate2,Entity.ACF references: 0,unverified,rename-candidate,review-required
acf_fueltank,ace_fueltank,Entity.ACF references: 0,unverified,rename-candidate,review-required
acf_gearbox,ace_gearbox,Entity.ACF references: 0,unverified,rename-candidate,review-required
acf_gun,ace_gun,Entity.ACF references: 0,unverified,rename-candidate,review-required
acf_missile_to_rack,ace_missile_to_rack,Entity.ACF references: 0,unverified,rename-candidate,review-required
acf_missileradar,ace_missileradar,Entity.ACF references: 0,unverified,rename-candidate,review-required
acf_opticalcomputer,ace_opticalcomputer,Entity.ACF references: 0,unverified,rename-candidate,review-required
acf_rack,ace_rack,Entity.ACF references: 0,unverified,rename-candidate,review-required
gmod_wire_expression2,gmod_wire_expression2,Entity.ACF references: 0,unverified,retain-candidate,inventory-confirmed
