file,line,name,scope,disposition,category,kind,realm,status
lua/ace/client/cl_acemenu_gui.lua,19,AmmoBuildList,local,review-required,canonical helper candidate,function,client-or-shared,review-required
lua/ace/client/cl_acemenu_gui.lua,24,,anonymous,review-required,canonical helper candidate,anonymous-function,client-or-shared,review-required
lua/ace/client/cl_acemenu_gui.lua,30,EndNode:DoClick,global,review-required,canonical helper candidate,function,client-or-shared,review-required
lua/ace/client/cl_acemenu_gui.lua,40,PANEL:Init,global,review-required,canonical helper candidate,function,client-or-shared,review-required
lua/ace/client/cl_acemenu_gui.lua,92,,anonymous,review-required,canonical helper candidate,anonymous-function,client-or-shared,review-required
lua/ace/client/cl_acemenu_gui.lua,93,,anonymous,review-required,canonical helper candidate,anonymous-function,client-or-shared,review-required
lua/ace/client/cl_acemenu_gui.lua,94,,anonymous,review-required,canonical helper candidate,anonymous-function,client-or-shared,review-required
lua/ace/client/cl_acemenu_gui.lua,107,,anonymous,review-required,canonical helper candidate,anonymous-function,client-or-shared,review-required
lua/ace/client/cl_acemenu_gui.lua,109,,anonymous,review-required,canonical helper candidate,anonymous-function,client-or-shared,review-required
lua/ace/client/cl_acemenu_gui.lua,121,,anonymous,review-required,canonical helper candidate,anonymous-function,client-or-shared,review-required
lua/ace/client/cl_acemenu_gui.lua,122,,anonymous,review-required,canonical helper candidate,anonymous-function,client-or-shared,review-required
lua/ace/client/cl_acemenu_gui.lua,123,HomeNode:DoClick,global,review-required,canonical helper candidate,function,client-or-shared,review-required
lua/ace/client/cl_acemenu_gui.lua,141,EndNode:DoClick,global,review-required,canonical helper candidate,function,client-or-shared,review-required
lua/ace/client/cl_acemenu_gui.lua,165,EndNode:DoClick,global,review-required,canonical helper candidate,function,client-or-shared,review-required
lua/ace/client/cl_acemenu_gui.lua,189,ExploNode:DoClick,global,review-required,canonical helper candidate,function,client-or-shared,review-required
lua/ace/client/cl_acemenu_gui.lua,235,Item:DoClick,global,review-required,canonical helper candidate,function,client-or-shared,review-required
lua/ace/client/cl_acemenu_gui.lua,267,Item:DoClick,global,review-required,canonical helper candidate,function,client-or-shared,review-required
lua/ace/client/cl_acemenu_gui.lua,279,FuelTanks:DoClick,global,review-required,canonical helper candidate,function,client-or-shared,review-required
lua/ace/client/cl_acemenu_gui.lua,327,EndNode:DoClick,global,review-required,canonical helper candidate,function,client-or-shared,review-required
lua/ace/client/cl_acemenu_gui.lua,347,ItemNode:DoClick,global,review-required,canonical helper candidate,function,client-or-shared,review-required
lua/ace/client/cl_acemenu_gui.lua,365,guicreate,global,review-required,canonical helper candidate,function-assignment,client-or-shared,review-required
lua/ace/client/cl_acemenu_gui.lua,366,guiupdate,global,review-required,canonical helper candidate,function-assignment,client-or-shared,review-required
lua/ace/client/cl_acemenu_gui.lua,368,CrewNode:DoClick,global,review-required,canonical helper candidate,function,client-or-shared,review-required
lua/ace/client/cl_acemenu_gui.lua,383,ItemNode:DoClick,global,review-required,canonical helper candidate,function,client-or-shared,review-required
lua/ace/client/cl_acemenu_gui.lua,404,,anonymous,review-required,canonical helper candidate,anonymous-function,client-or-shared,review-required
lua/ace/client/cl_acemenu_gui.lua,405,,anonymous,review-required,canonical helper candidate,anonymous-function,client-or-shared,review-required
lua/ace/client/cl_acemenu_gui.lua,406,CLNod:DoClick,global,review-required,canonical helper candidate,function,client-or-shared,review-required
lua/ace/client/cl_acemenu_gui.lua,410,SVNod:DoClick,global,review-required,canonical helper candidate,function,client-or-shared,review-required
lua/ace/client/cl_acemenu_gui.lua,426,,anonymous,review-required,canonical helper candidate,anonymous-function,client-or-shared,review-required
lua/ace/client/cl_acemenu_gui.lua,427,Contact:DoClick,global,review-required,canonical helper candidate,function,client-or-shared,review-required
lua/ace/client/cl_acemenu_gui.lua,437,PANEL:UpdateRoundCostPreview,global,review-required,canonical helper candidate,function,client-or-shared,review-required
lua/ace/client/cl_acemenu_gui.lua,463,PANEL:QueueRoundCostPreview,global,review-required,canonical helper candidate,function,client-or-shared,review-required
lua/ace/client/cl_acemenu_gui.lua,469,,anonymous,review-required,canonical helper candidate,anonymous-function,client-or-shared,review-required
lua/ace/client/cl_acemenu_gui.lua,475,PANEL:UpdateDisplay,global,review-required,canonical helper candidate,function,client-or-shared,review-required
lua/ace/client/cl_acemenu_gui.lua,503,acemenupanel.UpdateAttribs,global,review-required,canonical helper candidate,function-assignment,client-or-shared,review-required
lua/ace/client/cl_acemenu_gui.lua,518,PANEL:PerformLayout,global,review-required,canonical helper candidate,function,client-or-shared,review-required
lua/ace/client/cl_acemenu_gui.lua,538,ACE.HomeGUICreate,global,ACE.table,ACE.table,function,client-or-shared,inventory-confirmed
lua/ace/client/cl_acemenu_gui.lua,597,Node:DoClick,global,review-required,canonical helper candidate,function,client-or-shared,review-required
lua/ace/client/cl_acemenu_gui.lua,616,ACE.HomeGUIUpdate,global,ACE.table,ACE.table,function,client-or-shared,inventory-confirmed
lua/ace/client/cl_acemenu_gui.lua,655,ACE.ChangelogHTTPCallBack,global,ACE.table,ACE.table,function,client-or-shared,inventory-confirmed
lua/ace/client/cl_acemenu_gui.lua,671,,anonymous,review-required,canonical helper candidate,anonymous-function,client-or-shared,review-required
